Iteration,SMILES,Modification,Docking Score
0,c1ccc2c(cc(s2)C(=O)N)c1,Initial SMILES,-5.3
1,c1ccc2c(cc(s2)C(=O)Nc3ccccc3)c1,Added a phenyl ring to the amide group to enhance π-π stacking interactions.,-7.1
2,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)C(=O)NCCCC)c1,Added a 4-aminobutanamido group to the aromatic ring to enhance binding affinity.,-8.1
3,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)C(=O)NCCCCN)c1,Added an amine group at the end of the 4-aminobutanamido chain to interact with solvent-exposed regions.,-7
4,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)C(=O)NCCOCC)c1,Added an ethylene glycol linker to allow for additional functional groups.,-6.9
5,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3OC)C(=O)NCCCC)c1,Added a methoxy group to the aromatic ring to form additional interactions.,-7.3
6,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3F)C(=O)NCCCC)c1,Added a fluorine atom to the aromatic ring to form additional interactions.,-7.3
7,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C(F)(F)F)C(=O)NCCCC)c1,Added a trifluoromethyl group to the aromatic ring to form additional interactions.,-7.7
8,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3O)C(=O)NCCCC)c1,Added a hydroxyl group to the aromatic ring to form hydrogen bonds.,-7.5
9,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3[N+](=O)[O-])C(=O)NCCCC)c1,Added a nitro group to the aromatic ring to form additional interactions.,-7.4
10,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C#N)C(=O)NCCCC)c1,Added a cyano group to the aromatic ring to form additional interactions.,-6.7
11,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C)C(=O)NCCCC)c1,Added a methyl group to the aromatic ring to form additional interactions.,-7
12,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3Cl)C(=O)NCCCC)c1,Added a chlorine atom to the aromatic ring to form additional interactions.,-6.9
13,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3Br)C(=O)NCCCC)c1,Added a bromine atom to the aromatic ring to form additional interactions.,-7
14,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3CC)C(=O)NCCCC)c1,Added an ethyl group to the aromatic ring to form additional interactions.,-7.3
15,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C(C)(C)C)C(=O)NCCCC)c1,Added a tert-butyl group to the aromatic ring to form additional interactions.,-7.7
16,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3OCO)C(=O)NCCCC)c1,Added a methylenedioxy group to the aromatic ring to form additional interactions.,-7.1
17,c1ccc2c(cc(s2)C(=O)Nc3ccc(nc3)C(=O)NCCCC)c1,Added a pyridine ring to the aromatic ring to form additional interactions.,-7.4
18,c1ccc2c(cc(s2)C(=O)Nc3ccc(c3)C(=O)NCCCC)c1,Added a thiophene ring to the aromatic ring to form additional interactions.,0
19,c1ccc2c(cc(s2)C(=O)Nc3ccc(o3)C(=O)NCCCC)c1,Added a furan ring to the aromatic ring to form additional interactions.,-6.7
20,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)C(=O)NCCCC)c1,Reverted to previous valid SMILES with best docking score.,-8.1
